name,lat,lon
Mexico,23.6345,-102.5528
Moldova,47.4116,28.3699
Mongolia,46.8625,103.8467
Montenegro,42.7087,19.3744
Montserrat,16.7425,-62.1874
Morocco,31.7917,-7.0926
Mozambique,-18.6657,35.5296
Myanmar,21.9162,95.956
Namibia,-22.9576,18.4904
Nepal,28.3949,84.124
Netherlands,52.1326,5.2913
New Caledonia,-20.9043,165.618
New Zealand,-40.9006,174.886
Nicaragua,12.8654,-85.2072
Niger,17.6078,8.0817
Nigeria,9.082,8.6753
North Korea,40.3399,127.5101
North Macedonia,41.6086,21.7453
Northern Ireland,54.7877,-6.4923
Norway,60.472,8.4689
Oman,21.5126,55.9233
Pakistan,30.3753,69.3451
Palestine,31.9522,35.2332
Panama,8.538,-80.7821
Papua New Guinea,-6.315,143.9555
Paraguay,-23.4425,-58.4438
Peru,-9.19,-75.0152
Philippines,12.8797,121.774
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Puerto Rico,18.2208,-66.5901
Qatar,25.3548,51.1839
Republic of Ireland,53.4129,-8.2439
Romania,45.9432,24.9668
Russia,61.524,105.3188
Rwanda,-1.9403,29.8739
Saint Kitts and Nevis,17.3578,-62.783
Saint Lucia,13.9094,-60.9789
Saint Martin,18.0826,-63.0523
Saint Vincent and the Grenadines,12.9843,-61.2872
Samoa,-13.759,-172.1046
San Marino,43.9424,12.4578
Saudi Arabia,23.8859,45.0792
Scotland,56.4907,-4.2026
Senegal,14.4974,-14.4524
Serbia,44.0165,21.0059
Seychelles,-4.6796,55.492
Sierra Leone,8.4606,-11.7799
Singapore,1.3521,103.8198
Sint Maarten,18.0425,-63.0548
Slovakia,48.669,19.699
Slovenia,46.1512,14.9955
Solomon Islands,-9.6457,160.1562
Somalia,5.1521,46.1996
South Africa,-30.5595,22.9375
South Korea,35.9078,127.7669
South Sudan,6.877,31.307
Spain,40.4637,-3.7492
Sri Lanka,7.8731,80.7718
Sudan,12.8628,30.2176
Suriname,3.9193,-56.0278
Sweden,60.1282,18.6435
Switzerland,46.8182,8.2275
Syria,34.8021,38.9968
São Tomé and Príncipe,0.1864,6.6131
Tahiti,-17.6509,-149.426
Taiwan,23.6978,120.9605
Tajikistan,38.861,71.2761
Tanzania,-6.369,34.8888
Thailand,15.87,100.9925
Togo,8.6195,0.8248
Trinidad and Tobago,10.6918,-61.2225
Tunisia,33.8869,9.5375
Turkey,38.9637,35.2433
Turkmenistan,38.9697,59.5563
Turks and Caicos Islands,21.694,-71.7979
Uganda,1.3733,32.2903
Ukraine,48.3794,31.1656
United Arab Emirates,23.4241,53.8478
United States,37.0902,-95.7129
Uruguay,-32.5228,-55.7658
Uzbekistan,41.3775,64.5853
Vanuatu,-15.3767,166.9592
Venezuela,6.4238,-66.5897
Vietnam,14.0583,108.2772
Wales,52.1307,-3.7837
Yemen,15.5527,48.5164
Zambia,-13.1339,27.8493
Zimbabwe,-19.0154,29.1549
